model,rmse,mae,samples,adjusted
Multimodal (Rating Dominant),0.6839193757341421,0.5623627369408132,500,True
Multimodal (Balanced),0.7346335645309828,0.6066722805909941,500,True
Multimodal (Content Dominant),0.8181314014906447,0.6824223694824662,500,True
Multimodal (No User Features),0.8314661195567049,0.6924458355303266,499,True
HybridRec (SVD User + Rating-only Item),1.034863358354963,0.8384341475235496,500,False
User CF (Rating + User Features),1.0382237483628771,0.8258863338268396,500,False
Item CF (Rating Only),1.0484316452531695,0.8371943571776933,500,False
User CF (Rating Only),1.0763238591750273,0.8583594422568003,500,False
