movie_set,movie_title,selection_method,evaluation_method,selection_time,selected_count,avg_similarity,min_similarity,max_similarity,similarity_std,total_comparisons,diversity_score,status
1,"Postino, Il",histogram,cnn_features,0.10951733589172363,5,0.8703500032424927,0.807841420173645,0.9999999403953552,0.05642283775004563,10.0,0.12964999675750732,Success
1,"Postino, Il",ssim,cnn_features,1.2720775604248047,5,0.8586975336074829,0.807841420173645,0.9102439880371094,0.032925554827477437,10.0,0.1413024663925171,Success
1,"Postino, Il",perceptual_hash,cnn_features,0.1385326385498047,5,0.8586975336074829,0.807841420173645,0.9102439880371094,0.032925554827477437,10.0,0.1413024663925171,Success
1,"Postino, Il",combined,cnn_features,1.5294911861419678,5,0.8586975336074829,0.807841420173645,0.9102439880371094,0.032925554827477437,10.0,0.1413024663925171,Success
1,"Postino, Il",cnn_features,cnn_features,3.184526205062866,5,0.8615158796310425,0.8128312826156616,0.9102439880371094,0.031280554912468034,10.0,0.13848412036895752,Success
1,"Postino, Il",clip_features,cnn_features,3.169034481048584,5,0.8480226993560791,0.793728232383728,0.9999999403953552,0.057090727817706355,10.0,0.1519773006439209,Success
2,GoldenEye,histogram,cnn_features,0.09901809692382812,5,0.8518933653831482,0.7953283786773682,0.8929383158683777,0.03519940107230657,10.0,0.1481066346168518,Success
2,GoldenEye,ssim,cnn_features,0.0,0,1.0,,,,,0.0,Error: don't know how to coerce float...
2,GoldenEye,perceptual_hash,cnn_features,0.12646007537841797,5,0.839856743812561,0.8156002759933472,0.8892303705215454,0.02462262317562048,10.0,0.16014325618743896,Success
2,GoldenEye,combined,cnn_features,1.4851162433624268,5,0.8453699350357056,0.8105162382125854,0.8929383158683777,0.027746818245444137,10.0,0.15463006496429443,Success
2,GoldenEye,cnn_features,cnn_features,0.0,0,1.0,,,,,0.0,Error: don't know how to coerce float...
2,GoldenEye,clip_features,cnn_features,0.0,0,1.0,,,,,0.0,Error: don't know how to coerce float...
3,Strange Days,histogram,cnn_features,0.09832882881164551,5,0.8844863176345825,0.848414421081543,0.9449496865272522,0.03070296701463447,10.0,0.11551368236541748,Success
3,Strange Days,ssim,cnn_features,1.049652338027954,5,0.876117467880249,0.8379055261611938,0.9449496865272522,0.03135584880628165,10.0,0.12388253211975098,Success
3,Strange Days,perceptual_hash,cnn_features,0.12404227256774902,5,0.876117467880249,0.8379055261611938,0.9449496865272522,0.03135584880628165,10.0,0.12388253211975098,Success
3,Strange Days,combined,cnn_features,1.3122479915618896,5,0.876117467880249,0.8379055261611938,0.9449496865272522,0.03135584880628165,10.0,0.12388253211975098,Success
3,Strange Days,cnn_features,cnn_features,0.0,0,1.0,,,,,0.0,Error: don't know how to coerce float...
3,Strange Days,clip_features,cnn_features,3.028937816619873,5,0.8801219463348389,0.8490700721740723,0.9449496865272522,0.030513492630544606,10.0,0.11987805366516113,Success
