movie_set,movie_title,selection_method,evaluation_method,selection_time,selected_count,avg_similarity,min_similarity,max_similarity,similarity_std,total_comparisons,diversity_score,status
1,French Twist (Gazon maudit),histogram,cnn_features,0.10303187370300293,3,0.8668102820714315,0.8299176692962646,0.8913257718086243,0.03252127987279987,3,0.13318971792856849,Success
1,French Twist (Gazon maudit),ssim,cnn_features,1.111177921295166,3,0.8274784684181213,0.8165130019187927,0.8466209173202515,0.01663637350407664,3,0.17252153158187866,Success
1,French Twist (Gazon maudit),perceptual_hash,cnn_features,0.12405061721801758,3,0.8758440415064493,0.8380255699157715,0.9465949535369873,0.06132077127667571,3,0.12415595849355066,Success
1,French Twist (Gazon maudit),combined,cnn_features,1.3238117694854736,3,0.8668102820714315,0.8299176692962646,0.8913257718086243,0.03252127987279987,3,0.13318971792856849,Success
1,French Twist (Gazon maudit),cnn_features,cnn_features,3.0765881538391113,3,0.9016290505727133,0.8764282464981079,0.9465949535369873,0.039036342615039785,3,0.09837094942728675,Success
1,French Twist (Gazon maudit),clip_features,cnn_features,3.0721707344055176,3,0.9001999894777933,0.8748176097869873,0.9465949535369873,0.04023857968828397,3,0.09980001052220666,Success
2,Eat Drink Man Woman,histogram,cnn_features,0.10953283309936523,3,0.8478471040725708,0.8152725696563721,0.9055662155151367,0.05012407541285112,3,0.1521528959274292,Success
2,Eat Drink Man Woman,ssim,cnn_features,1.1049795150756836,3,0.8576401074727377,0.8081820011138916,0.9420406818389893,0.0734524924982286,3,0.14235989252726233,Success
2,Eat Drink Man Woman,perceptual_hash,cnn_features,0.13169217109680176,3,0.819068173567454,0.8159414529800415,0.8207941055297852,0.002712695296425942,3,0.18093182643254602,Success
2,Eat Drink Man Woman,combined,cnn_features,1.358945608139038,3,0.8660662372907003,0.8204689621925354,0.9550321102142334,0.07705476402780852,3,0.1339337627092997,Success
2,Eat Drink Man Woman,cnn_features,cnn_features,3.113006591796875,3,0.8473827838897705,0.8359490633010864,0.8567100763320923,0.010539577561280114,3,0.1526172161102295,Success
2,Eat Drink Man Woman,clip_features,cnn_features,3.1101627349853516,3,0.8443861802419027,0.8159414529800415,0.8677278757095337,0.026267643497259303,3,0.1556138197580973,Success
3,Bad Boys,histogram,cnn_features,0.10152411460876465,3,0.9337879220644633,0.9017603397369385,0.9771252274513245,0.03893454702201716,3,0.06621207793553674,Success
3,Bad Boys,ssim,cnn_features,1.0944488048553467,3,0.9098821679751078,0.8981531858444214,0.9309217929840088,0.018260927045782468,3,0.09011783202489221,Success
3,Bad Boys,perceptual_hash,cnn_features,0.12403655052185059,3,0.9098821679751078,0.8981531858444214,0.9309217929840088,0.018260927045782468,3,0.09011783202489221,Success
3,Bad Boys,combined,cnn_features,1.3449978828430176,3,0.9337879220644633,0.9017603397369385,0.9771252274513245,0.03893454702201716,3,0.06621207793553674,Success
3,Bad Boys,cnn_features,cnn_features,3.0608932971954346,3,0.9224315683046976,0.9138947129249573,0.9309217929840088,0.008513635806810409,3,0.07756843169530236,Success
3,Bad Boys,clip_features,cnn_features,3.242509365081787,3,0.934506893157959,0.9017603397369385,1.0,0.05671869429797595,3,0.06549310684204102,Success
4,Dead Man Walking,histogram,cnn_features,0.0985269546508789,3,0.9648555914560953,0.9472833871841431,1.0,0.030435950600000275,3,0.03514440854390466,Success
4,Dead Man Walking,ssim,cnn_features,1.295323133468628,3,0.9648555914560953,0.9472833871841431,1.0,0.030435950600000275,3,0.03514440854390466,Success
4,Dead Man Walking,perceptual_hash,cnn_features,0.11802887916564941,3,0.9664968252182007,0.949745237827301,1.0,0.029014600468468377,3,0.033503174781799316,Success
4,Dead Man Walking,combined,cnn_features,1.4787116050720215,3,0.9648555914560953,0.9472833871841431,1.0,0.030435950600000275,3,0.03514440854390466,Success
4,Dead Man Walking,cnn_features,cnn_features,3.089799165725708,3,0.9676382541656494,0.9514573812484741,1.0,0.028026094003362843,3,0.032361745834350586,Success
4,Dead Man Walking,clip_features,cnn_features,3.113463878631592,3,0.9676382541656494,0.9514573812484741,1.0,0.028026094003362843,3,0.032361745834350586,Success
5,Mighty Aphrodite,histogram,cnn_features,0.10406136512756348,3,0.8481318751970927,0.8233758807182312,0.8722323179244995,0.024434814818136766,3,0.15186812480290734,Success
5,Mighty Aphrodite,ssim,cnn_features,1.2497587203979492,3,0.8305578033129374,0.809409499168396,0.8675602674484253,0.03215421830263194,3,0.16944219668706262,Success
5,Mighty Aphrodite,perceptual_hash,cnn_features,0.12283563613891602,3,0.9582402308781942,0.9370912313461304,0.9973950386047363,0.03394545829743696,3,0.04175976912180579,Success
5,Mighty Aphrodite,combined,cnn_features,1.486175537109375,3,0.8305578033129374,0.809409499168396,0.8675602674484253,0.03215421830263194,3,0.16944219668706262,Success
5,Mighty Aphrodite,cnn_features,cnn_features,3.042262554168701,3,0.9582402308781942,0.9370912313461304,0.9973950386047363,0.03394545829743696,3,0.04175976912180579,Success
5,Mighty Aphrodite,clip_features,cnn_features,3.1150476932525635,3,0.9582402308781942,0.9370912313461304,0.9973950386047363,0.03394545829743696,3,0.04175976912180579,Success
